,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lompoc,1,US,1581813289,72,34.64,-120.46,66.0,11.41
1,Nikolskoye,75,RU,1581813455,84,59.7,30.79,35.6,13.42
2,Kodiak,75,US,1581813456,75,57.79,-152.41,32.0,12.15
3,Vaini,20,TO,1581813456,66,-21.2,-175.2,84.2,10.29
4,Airai,0,TL,1581813456,69,-8.93,125.41,76.33,1.5
5,Aleksandrov Gay,82,RU,1581813456,95,50.15,48.57,22.37,5.99
6,Rikitea,100,PF,1581813457,76,-23.12,-134.97,80.1,18.07
7,Ushuaia,75,AR,1581813457,75,-54.8,-68.3,46.4,23.04
8,Rundu,100,NA,1581813457,73,-17.93,19.77,75.2,2.37
9,Joshimath,23,IN,1581813457,26,30.57,79.57,35.89,9.71
10,Barrow,1,US,1581813160,92,71.29,-156.79,-29.2,11.41
11,Punta Arenas,40,CL,1581813457,81,-53.15,-70.92,46.4,18.34
12,Vardo,96,NO,1581813458,87,70.37,31.11,23.29,11.52
13,Mackay,2,AU,1581813458,70,-21.15,149.2,91.99,5.82
14,Aklavik,5,CA,1581813458,73,68.22,-135.01,-31.0,4.7
15,Hithadhoo,0,MV,1581813458,73,-0.6,73.08,83.39,6.87
16,Paita,40,PE,1581813458,100,-5.09,-81.11,62.6,9.17
17,Yangi Marg`ilon,76,UZ,1581813459,44,40.43,71.72,37.4,18.34
18,Bandar-e Lengeh,0,IR,1581813459,82,26.56,54.88,62.6,6.93
19,Bilma,80,NE,1581813459,15,18.69,12.92,67.01,12.17
20,New Norfolk,20,AU,1581813460,48,-42.78,147.06,66.0,16.11
21,George Town,20,MY,1581813228,94,5.41,100.34,78.8,3.36
22,Nabire,17,ID,1581813460,75,-3.37,135.48,83.89,0.4
23,Gazojak,19,TM,1581813460,64,41.19,61.4,34.57,6.96
24,Cape Town,0,ZA,1581813460,93,-33.93,18.42,75.0,3.36
25,Coro,0,VE,1581813460,81,11.4,-69.67,76.77,18.43
26,Norman Wells,40,CA,1581813452,66,65.28,-126.83,-31.0,4.7
27,Yellowknife,20,CA,1581813366,68,62.46,-114.35,-18.0,5.82
28,Kapaa,90,US,1581813378,69,22.08,-159.32,78.8,13.87
29,Mataura,100,NZ,1581813461,88,-46.19,168.86,64.99,10.0
30,Jesus Carranza,7,MX,1581813461,85,17.43,-95.03,73.42,7.85
31,Atuona,58,PF,1581813461,73,-9.8,-139.03,81.61,15.17
32,Saint-Philippe,40,RE,1581813461,83,-21.36,55.77,78.8,8.05
33,Kavieng,100,PG,1581813461,78,-2.57,150.8,82.78,12.91
34,Port Blair,20,IN,1581813461,88,11.67,92.75,69.8,2.24
35,Yerbogachen,93,RU,1581813461,96,61.28,108.01,0.59,6.93
36,Tuktoyaktuk,5,CA,1581813461,65,69.45,-133.04,-38.2,3.36
37,Upernavik,13,GL,1581813462,49,72.79,-56.15,1.45,4.18
38,Palmerston,90,AU,1581813263,79,-12.49,130.98,84.99,4.7
39,Poum,91,NC,1581813462,75,-20.23,164.02,81.19,19.57
40,Kargil,100,IN,1581813462,72,34.57,76.1,-2.72,2.17
41,Hobart,20,AU,1581813462,48,-42.88,147.33,66.0,16.11
